# COURSE_NO|TITLE|UNITS|PREREQ|YEAR|TERM|GRADE|CREDITED|CREDITED_FROM|ACTUAL_NO|ACTUAL_TITLE
CS 111|Introduction to Computing|2.0||1|1st Semester||false|||
CS 111L|Introduction to Computing (Lab)|1.0||1|1st Semester||false|||
CS 112|Computer Programming 1|2.0||1|1st Semester||false|||
CS 112L|Computer Programming 1 (Lab)|1.0||1|1st Semester||false|||
CS 113|Discrete Structures|3.0||1|1st Semester||false|||
GMATH|Mathematics in the Modern World|3.0||1|1st Semester||false|||
GART|Art Appreciation|3.0||1|1st Semester||false|||
GHIST|Readings in Philippine History|3.0||1|1st Semester||false|||
FIT HW|Physical Activity Towards Health and Fitness (Health and Wellness)|2.0||1|1st Semester||false|||
CFE 101|God's Journey with His People|3.0||1|1st Semester||false|||
CS 121|Digital Logic Design|3.0|CS 111|1|2nd Semester||false|||
CS 122|Computer Programming 2|2.0|CS 112|1|2nd Semester||false|||
CS 122L|Computer Programming 2 (Lab)|1.0|CS 112|1|2nd Semester||false|||
CS 123|Architecture and Organization|2.0|CS 112|1|2nd Semester||false|||
CS 123L|Architecture and Organization (Lab)|1.0|CS 112|1|2nd Semester||false|||
GSELF|Understanding the Self|3.0||1|2nd Semester||false|||
GPCOM|Purposive Communication|3.0||1|2nd Semester||false|||
GENVI|Environmental Science|3.0||1|2nd Semester||false|||
FIT CS|Physical Activity Towards Health and Fitness (Combative Sports)|2.0||1|2nd Semester||false|||
CFE 102|Christian Morality in Our Times|3.0||1|2nd Semester||false|||
CS 131|Software Modeling and Analysis|3.0|CS 111|1|Short Term||false|||
CS 132|Mathematics for Computer Science|3.0||1|Short Term||false|||
CS 211|Data Structures|2.0|CS 112, CS 113|2|1st Semester||false|||
CS 211L|Data Structures (Lab)|1.0|CS 112, CS 113|2|1st Semester||false|||
CS 212|Operating Systems|2.0|CS 123|2|1st Semester||false|||
CS 212L|Operating Systems (Lab)|1.0|CS 123|2|1st Semester||false|||
CS 213|Human Computer Interaction|3.0|CS 122|2|1st Semester||false|||
GSTS|Science, Technology, and Society|3.0||2|1st Semester||false|||
GRVA|Reading Visual Art|3.0||2|1st Semester||false|||
NSTP-CWTS 1|Foundations of Service|3.0||2|1st Semester||false|||
FIT OA|Physical Activity Towards Health and Fitness (Outdoor and Adventure Activities)|2.0||2|1st Semester||false|||
CFE 103|Catholic Foundation of Mission|3.0||2|1st Semester||false|||
CS 221|Information Management|2.0|CS 211|2|2nd Semester||false|||
CS 221L|Information Management (Lab)|1.0|CS 211|2|2nd Semester||false|||
CS 222|Computer Programming 3|2.0|CS 122|2|2nd Semester||false|||
CS 222L|Computer Programming 3 (Lab)|1.0|CS 122|2|2nd Semester||false|||
CS 223|Automata and Formal Languages|3.0|CS 132|2|2nd Semester||false|||
GETHICS|Ethics|3.0||2|2nd Semester||false|||
GCWORLD|The Contemporary World|3.0||2|2nd Semester||false|||
NSTP-CWTS 2|Social Awareness and Empowerment for Service|3.0|NSTP-CWTS 1|2|2nd Semester||false|||
FIT AQ|Physical Activity Towards Health and Fitness (Aquatics)|2.0||2|2nd Semester||false|||
CFE 104|CICM Missionary Identity|3.0|CFE 103|2|2nd Semester||false|||
CS 231|Computer Networks|2.0|CS 212|2|Short Term||false|||
CS 231L|Computer Networks (Lab)|1.0|CS 212|2|Short Term||false|||
GRIZAL|The Life and Works of Rizal|3.0||2|Short Term||false|||
GENTREP|The Entrepreneurial Mind|3.0||2|Short Term||false|||
CS 311|Applications Development|2.0|CS 122|3|1st Semester||false|||
CS 311L|Applications Development (Lab)|1.0|CS 122|3|1st Semester||false|||
CS 312|Web Systems Development|2.0|CS 211|3|1st Semester||false|||
CS 312L|Web Systems Development (Lab)|1.0|CS 211|3|1st Semester||false|||
CS 313|Software Engineering|3.0|CS 131, CS 221|3|1st Semester||false|||
CS 314|Social and Personal Development in the ICT Workplace|3.0|CS 111, GSELF|3|1st Semester||false|||
CS 315|Technology-Assisted Presentation and Communication|3.0|CS 111, GPCOM|3|1st Semester||false|||
CSM 316|Numerical Methods for Computer Science|3.0|CS 132|3|1st Semester||false|||
CFE 105A|CICM in Action: Justice, Peace, and Integrity of Creation, Indigenous Peoples, and Interreligious Dialogue|1.5|CFE 103, CFE 104|3|1st Semester||false|||
CS 321|Artificial Intelligence|3.0|CS 132, CS 211|3|2nd Semester||false|||
CS 322|Data Science|2.0|CS 221|3|2nd Semester||false|||
CS 322L|Data Science (Lab)|1.0|CS 221|3|2nd Semester||false|||
CS 323|Modeling and Simulation|2.0|CS 132, CS 211|3|2nd Semester||false|||
CS 323L|Modeling and Simulation (Lab)|1.0|CS 132, CS 211|3|2nd Semester||false|||
CS 324|Methods of Research in Computer Science|3.0|3rd year standing|3|2nd Semester||false|||
